,title,type,eps_count,rate,content_descriptors,seasons_count,series_launch_year,Votes
305,fate/strange fake,series,2,4.9,"الفجور, التدخين, العنف",1,2023,10453
306,fena: pirate princess,series,12,4.4,العنف,1,2022,12828
307,fight league: gear gadget generators,series,26,3.7,"الفجور, العنف",1,2019,135
308,fire force,series,53,4.8,"التدخين, الصور الجنسية, التعذيب, العنف",3,2019,90207
309,firefighter daigo: rescuer in orange,series,25,4.3,"الفجور, العنف",1,2023,3347
310,flcl,series,12,4.1,"مواضيع للبالغين, الفجور, التدخين, الصور الجنسية, حوار ملمح, العنف",2,2019,2682
311,flow,series,1,3.8,العنف,1,2022,191
312,fluffy paradise,series,12,4.7,العنف,1,2024,21864
313,flying witch,series,12,4.6,تعاطي المخدرات/الكحول,1,2016,4616
314,folktales from japan,series,50,4.4,"تعاطي المخدرات/الكحول, العري, الفجور, التدخين, الانتحار, العنف",1,2012,345
315,food for the soul,series,4,4.6,unknown,1,2025,1104
316,food wars! shokugeki no soma,series,55,4.7,"العري, الفجور",6,2019,39010
317,for whom the alchemist exists the movie,series,1,4.2,"الفجور, العنف",1,2021,734
318,forest fairy five,series,25,2.1,"الفجور, العنف",2,2017,236
319,fractale,series,11,4.1,"الفجور, الصور الجنسية, العنف",1,2017,564
320,frankenstein family,series,12,3.5,العنف,1,2018,1267
321,freakangels,series,9,3.1,"الدم/القتل, تعاطي المخدرات/الكحول, الفجور, التدخين, المحتوى الجنسي, العنف",1,2022,1270
322,free! - iwatobi swim club,series,41,4.7,الفجور,3,2013,12033
323,frieren: beyond journey's end,series,28,4.9,"تعاطي المخدرات/الكحول, الفجور, العنف",1,2023,232308
324,fruits basket,series,64,4.9,"العري, الفجور, المحتوى الجنسي, حوار ملمح, الانتحار, العنف",4,2019,69325
325,full dive: this ultimate next-gen full dive rpg is even shittier than real life!,series,12,4.4,"الفجور, الصور الجنسية, حوار ملمح, العنف",1,2024,15768
326,fushigi yugi,series,52,4.5,"الفجور, الشتائم, الصور الجنسية, الانتحار, العنف",1,2016,2499
327,fushigi yugi ova,series,9,4.3,"العري, العنف الجنسي, المحتوى الجنسي, العنف",1,2016,637
328,fushigi yugi: eikoden,series,4,3.8,"العري, الفجور, العنف",1,2016,516
329,futsal boys!!!!!,series,12,3.8,الفجور,1,2022,1166
330,future card buddyfight,series,179,4.1,"تعاطي المخدرات/الكحول, الفجور, التدخين, العنف",5,2014,378
331,fuuto pi,series,12,4.6,"الدم/القتل, الصور الجنسية, العنف",1,2022,4200
332,ga-rei-zero,series,12,4.2,"الصور الجنسية, العنف",1,2023,1819
333,gabriel dropout,series,12,4.6,"الفجور, حوار ملمح",1,2017,4582
334,gad guard,series,26,3.8,"الفجور, التدخين, حوار ملمح, العنف",1,2018,263
335,gakuen handsome,series,12,4.2,العري,1,2016,1842
336,gal & dino,series,12,3.6,unknown,1,2022,309
337,gamers!,series,12,4.3,"الفجور, الصور الجنسية",1,2017,14722
338,ganbare doukichan,series,12,4.3,"تعاطي المخدرات/الكحول, المحتوى الجنسي, الصور الجنسية, حوار ملمح",1,2021,4261
339,garakowa -restore the world-,series,5,3.9,العنف,1,2015,31
340,gdgd fairies,series,25,2.4,العنف,2,2011,1938
341,gdgd men's party,series,12,2.8,"الفجور, العنف",1,2018,148
342,gegege no kitaro,series,97,4.4,"العري, التدخين, الانتحار, رعب خارق للطبيعة, العنف",1,2018,683
343,gekidol,series,13,3.3,"العري, العنف",1,2022,144
344,genesis climber mospeada,series,25,4.2,"تعاطي المخدرات/الكحول, العري, التدخين, الصور الجنسية, العنف",1,2024,313
345,gibiate,series,12,2.4,"الفجور, العنف",1,2020,3339
346,gifu dodo!! kanetsugu and keiji,series,25,3.8,"تعاطي المخدرات/الكحول, التدخين, العنف",1,2013,130
347,gingitsune: messenger fox of the gods,series,14,4.5,"الفجور, العنف",1,2013,998
348,gintama غينتاما,series,382,4.7,"الفجور, الصور الجنسية, حوار ملمح, العنف",8,2015,32438
349,girl friend beta,series,12,3.9,unknown,1,2014,310
350,"girlfriend, girlfriend",series,24,4.4,"تعاطي المخدرات/الكحول, الفجور, المحتوى الجنسي, الصور الجنسية, حوار ملمح",2,2021,32175
351,girls bravo,series,24,3.5,"العري, المحتوى الجنسي",1,2022,7347
352,girls' frontline,series,12,4.3,العنف,1,2022,1127
353,girly air force,series,12,4.2,"التدخين, العنف",1,2019,1280
354,given,series,14,4.8,"مواضيع للبالغين, الفجور, التدخين, المحتوى الجنسي",4,2019,52416
355,given (live-action series),series,6,4.0,"الفجور, التدخين, حوار ملمح",1,2021,1503
356,glass fleet,series,26,3.2,"الفجور, العنف الجنسي, المحتوى الجنسي, العنف",1,2018,416
357,gleipnir,series,13,4.6,"العري, الفجور, العنف الجنسي, المحتوى الجنسي, الانتحار, العنف",1,2022,13586
358,gloomy the naughty grizzly,series,12,4.1,العنف,1,2021,558
359,go! princess precure,series,50,4.4,العنف,1,2024,699
360,gods' games we play,series,13,4.2,"الفجور, الصور الجنسية, حوار ملمح, العنف",1,2024,18802
361,golden kamuy,series,52,4.8,"تعاطي المخدرات/الكحول, العري, الفجور, التدخين, المحتوى الجنسي, العنف",2,2018,15495
362,gonna be the twin-tail!!,series,12,4.2,"الصور الجنسية, حوار ملمح, العنف",1,2014,258
363,"good bye, dragon life",series,12,4.3,العنف,1,2024,20411
364,granbelm,series,13,4.0,"الصور الجنسية, العنف",1,2019,481
365,grand blues!,series,12,3.4,"الفجور, التدخين, حوار ملمح, العنف",1,2020,432
366,grandpa and grandma turn young again,series,11,4.7,"التدخين, الصور الجنسية, حوار ملمح",1,2024,14206
367,gravion,series,25,3.6,"العري, الفجور, حوار ملمح, العنف",2,2009,265
368,gridman universe,series,1,4.6,العنف,1,2024,614
369,grisaia phantom trigger,series,13,3.6,"التدخين, المحتوى الجنسي, الصور الجنسية, الانتحار, العنف",1,2025,2053
370,gto - the animation,series,43,4.9,"الفجور, التدخين, الصور الجنسية, حوار ملمح, الانتحار, العنف",1,2015,10887
371,guilty gear strive: dual rulers,series,5,3.6,العنف,1,2025,2742
372,gun x sword,series,26,4.3,"تعاطي المخدرات/الكحول, الفجور, الصور الجنسية, العنف",1,2022,1227
373,gundam build divers,series,52,4.4,العنف,2,2022,759
374,gundam build fighters,series,50,4.6,العنف,2,2017,1026
375,gungrave,series,26,4.5,"الفجور, التدخين, المحتوى الجنسي, العنف",1,2017,1483
376,gunmachan,series,26,2.9,العنف,2,2023,168
377,guyver: the bioboosted armor,series,26,4.5,"الدم/القتل, الفجور, التدخين, الانتحار, العنف",1,2018,891
378,h2o: footprints in the sand,series,12,4.4,"الصور الجنسية, حوار ملمح, العنف",1,2010,2309
379,haikyu!!,series,1,4.9,الفجور,1,2024,105928
380,hakata mentai! pirikarako-chan,series,12,3.4,unknown,1,2019,83
381,hakone-chan,series,13,3.9,حوار ملمح,1,2015,331
382,hakubo,series,1,4.5,مواضيع للبالغين,1,2020,1105
383,hakuoki ~demon of the fleeting blossom~,series,37,4.5,"تعاطي المخدرات/الكحول, العنف",4,2024,2070
384,hakuoki ~demon of the fleeting blossom~ (drama),series,10,3.7,العنف,1,2022,343
385,hakyu hoshin engi,series,25,3.2,"الدم/القتل, التدخين, الصور الجنسية, العنف",1,2018,497
386,hamatora,series,24,4.3,"تعاطي المخدرات/الكحول, الفجور, الصور الجنسية, حوار ملمح, العنف",2,2014,1248
387,hanabichan ~the girl who popped out of the game world~,series,12,3.9,الصور الجنسية,1,2022,390
388,hanayamata,series,12,4.5,"الفجور, حوار ملمح",1,2014,665
389,hand shakers,series,12,3.1,"الصور الجنسية, العنف",1,2017,1605
390,handyman saitou in another world,series,12,4.6,"المحتوى الجنسي, الصور الجنسية, حوار ملمح, العنف",1,2023,30710
391,hanebado!,series,13,4.1,الفجور,1,2018,1719
392,happiness!,series,12,4.4,"الصور الجنسية, حوار ملمح",1,2009,3650
393,harem in the labyrinth of another world,series,24,4.0,"العري, المحتوى الجنسي, العنف",2,2022,44270
394,harmonquest,series,118,3.4,"الفجور, التدخين, المحتوى الجنسي, حوار ملمح, الانتحار, العنف",5,2023,1238
395,hatena illusion,series,12,3.7,"الصور الجنسية, العنف",1,2022,525
396,hayate the combat butler!,series,26,4.3,"تعاطي المخدرات/الكحول, الفجور, الصور الجنسية, حوار ملمح",2,2013,524
397,hayate the combat butler! (season 1 & 2),series,77,4.7,"تعاطي المخدرات/الكحول, التدخين, الصور الجنسية, حوار ملمح, العنف",2,2010,6332
398,headhunted to another world: from salaryman to big four!,series,12,4.4,"الصور الجنسية, العنف",1,2025,20081
399,healer girl,series,12,4.6,العنف,1,2022,1847
400,heaven official's blessing,series,24,4.9,"الفجور, العنف",2,2024,37386
401,heaven's design team,series,13,4.5,"تعاطي المخدرات/الكحول, الصور الجنسية, حوار ملمح",1,2021,2242
402,heaven's lost property,series,25,4.4,"المحتوى الجنسي, الصور الجنسية, حوار ملمح, الانتحار",2,2022,7027
403,hell's paradise,series,13,4.9,"الدم/القتل, العري, الفجور, المحتوى الجنسي, العنف",1,2023,171295
404,"hensuki - are you willing to fall in love with a pervert, as long as she’s a cutie?",series,12,4.4,"المحتوى الجنسي, الصور الجنسية, حوار ملمح",1,2022,8254
405,herobank,series,52,2.8,"العري, التدخين, العنف",1,2014,69
406,heroines run the show,series,12,4.6,الفجور,1,2022,4748
407,hetalia,series,15,4.1,"تعاطي المخدرات/الكحول, الفجور, حوار ملمح",1,2022,2524
408,"higehiro: after being rejected, i shaved and took in a high school runaway",series,13,4.7,"الفجور, العنف الجنسي, التدخين, حوار ملمح, الانتحار",1,2021,40797
409,high school prodigies have it easy even in another world,series,12,4.2,"العري, الفجور, حوار ملمح, العنف",1,2019,17030
410,higurashi: when they cry - gou,series,39,4.5,"الدم/القتل, تعاطي المخدرات/الكحول, الفجور, التدخين, الانتحار, العنف",2,2022,4168
411,himegoto,series,13,4.1,"العنف الجنسي, المحتوى الجنسي, الصور الجنسية",1,2014,1114
412,himote house: a share house of super psychic girls,series,12,3.0,"الفجور, الصور الجنسية, حوار ملمح",1,2018,159
413,hinako note,series,12,4.4,الصور الجنسية,1,2017,868
414,hinamatsuri,series,12,4.7,"تعاطي المخدرات/الكحول, العري, الفجور, التدخين, العنف",1,2018,7567
415,hinomaru sumo,series,24,4.8,"العري, الفجور, العنف",1,2018,5349
416,hitori no shita - the outcast,series,37,4.5,"الدم/القتل, العري, الفجور, حوار ملمح, العنف",2,2016,6410
417,hitoribocchi no marumaruseikatsu,series,12,4.8,"الفجور, العنف",1,2019,3476
418,hiwou war chronicles,series,26,3.1,unknown,1,2025,147
419,hokkaido gals are super adorable!,series,12,4.7,"المحتوى الجنسي, الصور الجنسية, حوار ملمح",1,2024,32391
420,holmes of kyoto,series,12,4.4,"الفجور, العنف",1,2018,2725
421,honey lemon soda,series,12,4.7,"مواضيع للبالغين, الفجور",1,2025,23360
422,horimiya,series,26,4.9,"الفجور, التدخين, حوار ملمح",2,2022,143794
423,hortensia saga,series,12,4.0,"الفجور, العنف",1,2022,2548
424,how heavy are the dumbbells you lift?,series,12,4.6,"الفجور, الصور الجنسية",1,2022,7645
425,how not to summon a demon lord,series,20,4.5,"العري, العنف الجنسي, المحتوى الجنسي, حوار ملمح, العنف",2,2018,47264
426,how to keep a mummy,series,12,4.8,"الفجور, العنف",1,2018,6303
427,hula fulla dance,series,1,4.2,unknown,1,2023,235
428,hundred,series,12,4.4,"العري, التدخين, المحتوى الجنسي, العنف",1,2016,10206
429,hybrid x heart magias academy ataraxia,series,12,4.3,"العري, المحتوى الجنسي",1,2016,5556
430,hypnosismic -division rap battle- rhyme anima,series,13,4.3,"تعاطي المخدرات/الكحول, الفجور, التدخين",1,2023,1356
431,i can't understand what my husband is saying,series,26,4.5,"الفجور, التدخين, حوار ملمح",2,2014,4080
432,"i got a cheat skill in another world and became unrivaled in the real world, too",series,13,4.6,"تعاطي المخدرات/الكحول, الفجور, الصور الجنسية, العنف",1,2023,111307
433,i left my a-rank party to help my former students reach the dungeon depths!,series,17,4.5,"الفجور, الصور الجنسية, رعب خارق للطبيعة, العنف",1,2025,23850
434,"i may be a guild receptionist, but i’ll solo any boss to clock out on time",series,13,4.4,"الفجور, العنف",1,2025,21361
435,i shall survive using potions!,series,12,4.4,العنف,1,2023,11357
436,i want to escape from princess lessons,series,12,3.2,حوار ملمح,1,2025,9114
437,i was reincarnated as the 7th prince so i can take my time perfecting my magical ability,series,12,4.5,"الفجور, الصور الجنسية, حوار ملمح, العنف",1,2024,58019
438,i'll become a villainess who goes down in history,series,13,4.8,"الفجور, العنف",1,2024,43399
439,"i'm a noble on the brink of ruin, so i might as well try mastering magic",series,12,4.1,"الصور الجنسية, العنف",1,2025,24268
440,i'm getting married to a girl i hate in my class,series,12,4.6,"تعاطي المخدرات/الكحول, الفجور, الصور الجنسية, حوار ملمح",1,2025,27207
441,i'm giving the disgraced noble lady i rescued a crash course in naughtiness,series,12,4.6,العنف,1,2023,16131
442,i'm in love with the villainess,series,12,4.6,"الفجور, العنف",1,2023,28735
443,i'm kodama kawashiri,series,24,3.5,تعاطي المخدرات/الكحول,1,2022,736
444,i'm standing on a million lives,series,24,4.3,"الفجور, العنف",1,2021,18547
445,i'm the evil lord of an intergalactic empire!,series,5,4.5,"الفجور, الصور الجنسية, حوار ملمح, العنف",1,2025,8882
446,"i'm the villainess, so i'm taming the final boss",series,12,4.7,"الفجور, العنف",1,2022,48153
447,i've been killing slimes for 300 years and maxed out my level,series,17,4.5,"تعاطي المخدرات/الكحول, الصور الجنسية, العنف",2,2025,38624
448,id: invaded,series,13,4.7,"الدم/القتل, الفجور, العنف",1,2022,6802
449,idol incidents,series,12,3.8,"الفجور, الصور الجنسية, العنف",1,2017,182
450,idolish7,series,64,4.7,"تعاطي المخدرات/الكحول, الفجور, الصور الجنسية, العنف",4,2023,2755
451,idolls!,series,10,2.8,unknown,1,2021,124
452,"if it's for my daughter, i'd even defeat a demon lord",series,12,4.6,العنف,1,2019,16052
453,"if my favorite pop idol made it to the budokan, i would die",series,12,4.6,الفجور,1,2022,1140
454,ikebukuro west gate park,series,12,4.5,"تعاطي المخدرات/الكحول, الفجور, العنف",1,2022,1188
455,ikki tousen,series,3,4.0,"العري, المحتوى الجنسي, العنف",1,2021,2290
456,in another world with my smartphone,series,24,4.3,"الفجور, الصور الجنسية, حوار ملمح, العنف",2,2023,59441
457,in search of the lost future,series,12,3.9,"العري, التدخين, الصور الجنسية, العنف",1,2018,508
458,in the heart of kunoichi tsubaki,series,13,4.3,"حوار ملمح, العنف",1,2022,2376
459,in the land of leadale,series,12,4.6,"العري, الفجور, العنف",1,2022,33366
460,in this corner (and other corners) of the world,series,1,4.8,"التدخين, المحتوى الجنسي, العنف",1,2024,724
461,in/spectre,series,24,4.4,"الانتحار, رعب خارق للطبيعة, العنف",2,2020,19294
462,inazma delivery,series,20,3.8,العنف,1,2021,152
463,inferno cop,series,26,4.2,"الفجور, الشتائم, التدخين, العنف",1,2015,791
464,interviews with monster girls,series,13,4.7,"تعاطي المخدرات/الكحول, الفجور, التدخين, الصور الجنسية, حوار ملمح",1,2017,9542
465,inugami-san to nekoyama-san,series,12,4.3,"المحتوى الجنسي, حوار ملمح",1,2014,1111
466,investor z (motion manga),series,8,3.0,unknown,1,2015,114
467,irina: the vampire cosmonaut,series,12,4.7,"الفجور, العنف",1,2023,4067
468,irodorimidori,series,8,3.8,حوار ملمح,1,2023,195
469,isekai cheat magician,series,13,3.9,"الفجور, العنف",1,2019,26403
470,isekai izakaya: japanese food from another world,series,24,4.7,الفجور,1,2018,3909
471,isekai quartet,series,13,4.7,"الفجور, التدخين, حوار ملمح",2,2019,5618
472,island,series,12,4.1,"المحتوى الجنسي, الصور الجنسية, العنف",1,2018,1654
473,isuca,series,10,3.8,"الدم/القتل, العري, العنف",1,2015,1116
474,iwakakeru -sport climbing girls-,series,12,4.4,"الفجور, حوار ملمح",1,2020,2964
475,ixion saga dt,series,26,4.0,"الصور الجنسية, العنف",1,2012,1397
476,i★chu,series,12,4.2,العنف,1,2021,354
477,japanese anime classic collection,series,4,3.4,unknown,3,2008,168
478,jingai-san no yome,series,12,4.3,الفجور,1,2018,3915
479,jk-meshi!,series,26,3.0,unknown,1,2015,196
480,jojo's bizarre adventure,series,158,4.7,"الدم/القتل, العري, التدخين, العنف",6,2021,64097
481,joker game,series,12,4.4,"تعاطي المخدرات/الكحول, الفجور, التدخين, الصور الجنسية, العنف",1,2016,1845
482,joran the princess of snow and blood,series,12,4.2,"الدم/القتل, المحتوى الجنسي, العنف",1,2021,2221
483,joshi kausei,series,12,4.1,الصور الجنسية,1,2019,882
484,jujutsu kaisen,series,48,4.9,"العري, الفجور, التدخين, العنف",3,2020,526222
485,juni taisen：zodiac war,series,12,4.1,"تعاطي المخدرات/الكحول, العنف",1,2017,6208
486,junji ito collection,series,14,4.5,"العري, الانتحار, رعب خارق للطبيعة, العنف",1,2018,9122
487,kaasan mom's life,series,142,4.4,"تعاطي المخدرات/الكحول, العري, الفجور, التدخين, العنف",2,2011,1307
488,kabaneri of the iron fortress,series,14,4.6,"الدم/القتل, العري, التدخين, الانتحار, العنف",2,2019,17116
489,kado: the right answer,series,14,4.0,"تعاطي المخدرات/الكحول, العري, الفجور, العنف",1,2017,1360
490,kageki shojo!!,series,13,4.6,"الفجور, الصور الجنسية, العنف",1,2022,1496
491,kagewani,series,26,4.0,"الفجور, رعب خارق للطبيعة, العنف",2,2015,443
492,kaginado,series,24,4.3,"الفجور, التدخين, حوار ملمح, العنف",2,2021,415
493,kaguya-sama: love is war,series,29,4.9,"الفجور, الصور الجنسية, حوار ملمح",3,2022,108051
494,kaiju girls,series,24,3.4,العنف,2,2016,265
495,kaiju no. 8,series,12,4.9,"الدم/القتل, التدخين, العنف",1,2024,235163
496,kaina of the great snow sea,series,12,4.5,العنف,2,2023,3585
497,kakuriyo -bed & breakfast for spirits-,series,26,4.8,"تعاطي المخدرات/الكحول, الفجور, التدخين, العنف",1,2018,19986
498,kakushigoto,series,13,4.7,"العري, الفجور, حوار ملمح",2,2022,3913
499,kaleido star,series,52,4.4,الفجور,2,2022,1348
500,kamikatsu: working for god in a godless world,series,12,4.3,"تعاطي المخدرات/الكحول, الفجور, المحتوى الجنسي, الصور الجنسية, حوار ملمح, العنف",1,2023,27131
501,kamisama dolls,series,13,4.2,"الفجور, العنف الجنسي, التدخين, المحتوى الجنسي, العنف",1,2011,1067
502,kancolle,series,20,4.1,"الفجور, الصور الجنسية, العنف",2,2015,1546
503,karakai jozu no takagi-san,series,12,4.7,حوار ملمح,1,2018,9553
504,katana maidens -tomoshibi,series,2,4.0,"الفجور, العنف",1,2020,256
505,katana maidens ~ mini toji,series,11,3.8,"الفجور, العنف",1,2019,86
506,katana maidens ~ toji no miko,series,25,4.3,العنف,1,2018,864
507,kawagoe boys sing -now or never-,series,12,3.6,"العري, الفجور",1,2023,709
508,kay's daily doodles,series,12,4.1,العنف,1,2024,248
509,keep your hands off eizouken!,series,12,4.8,الفجور,1,2020,6148
510,keijo!!!!!!!!,series,12,4.3,"العري, الصور الجنسية",1,2016,6762
511,kemono friends,series,24,4.2,العنف,2,2017,461
512,kemono jihen,series,12,4.8,"الدم/القتل, رعب خارق للطبيعة, العنف",1,2022,13397
513,kemono michi: rise up,series,12,4.3,"الفجور, الصور الجنسية, العنف",1,2022,3925
514,kenka bancho otome -girl beats boys-,series,12,4.4,العنف,1,2017,5015
515,kiddy grade,series,24,4.2,"العري, التدخين, العنف",1,2017,478
516,kiitaro's yokai picture diary,series,12,4.1,الصور الجنسية,1,2016,371
517,king of prism -shiny seven stars-,series,12,3.5,"العري, التدخين, الانتحار, العنف",1,2019,189
518,king's raid: successors of the will,series,26,4.1,العنف,1,2023,2442
519,kino's journey -the beautiful world- the animated series,series,12,4.6,"الفجور, العنف",1,2017,6116
520,kinokoinu mushroom pup,series,12,4.2,مواضيع للبالغين,1,2024,1151
521,kira kira☆precure a la mode,series,49,4.5,العنف,1,2020,761
522,kiyo in kyoto: from the maiko house,series,12,4.7,unknown,1,2021,739
523,kiznaiver,series,27,4.5,"الفجور, الصور الجنسية, الانتحار, العنف",2,2015,5535
524,kizumonogatari -koyomi vamp-,series,1,4.7,"الدم/القتل, التدخين, الصور الجنسية, العنف",1,2024,1184
525,"kizuna ai 1st live ""hello, world""",series,1,3.9,unknown,1,2019,322
526,knights of sidonia,series,24,4.7,"الدم/القتل, العري, العنف",2,2022,4718
527,kochoki,series,12,4.3,"الانتحار, العنف",1,2022,943
528,koihime musou,series,12,4.5,"المحتوى الجنسي, الصور الجنسية, العنف",1,2009,2230
529,koikimo,series,12,4.5,تعاطي المخدرات/الكحول,1,2021,12580
530,komori-san can't decline!,series,13,4.2,الصور الجنسية,1,2015,1042
531,kono aozora ni yakusoku wo,series,13,4.3,"الفجور, الصور الجنسية, حوار ملمح",1,2009,1333
532,kono oto tomare!: sounds of life,series,26,4.9,"الفجور, العنف",2,2022,11670
533,konohana kitan,series,12,4.6,"تعاطي المخدرات/الكحول, العري, الفجور, التدخين, العنف",1,2017,3150
534,konosuba -an explosion on this wonderful world!,series,12,4.7,"الفجور, الصور الجنسية, العنف",1,2023,26317
535,konosuba -god's blessing on this wonderful world!,series,36,4.8,"تعاطي المخدرات/الكحول, العري, الفجور, المحتوى الجنسي, العنف",4,2024,98194
536,kowabon,series,13,3.4,رعب خارق للطبيعة,1,2017,237
537,kowloon generic romance,series,5,4.8,"العري, التدخين, المحتوى الجنسي",1,2025,5502
538,kuma kuma kuma bear,series,24,4.7,"الفجور, الصور الجنسية, العنف",2,2022,16351
539,kurayukaba & kuramerukagari,series,2,4.3,"تعاطي المخدرات/الكحول, التدخين, العنف",1,2024,806
540,laid-back camp,series,47,4.8,تعاطي المخدرات/الكحول,5,2018,13778
541,lapis re:lights,series,12,4.3,الفجور,1,2022,629
542,last exile,series,26,4.6,"تعاطي المخدرات/الكحول, الفجور, التدخين, العنف",1,2022,1481
543,last period: the journey to the end of the despair,series,12,3.2,"الفجور, الصور الجنسية, العنف",1,2018,428
544,late night! the genius bakabon,series,12,3.4,"الفجور, العنف",1,2018,79
545,lbx girls,series,12,4.0,"الصور الجنسية, العنف",1,2022,393
546,lee's detective agency,series,8,4.1,"تعاطي المخدرات/الكحول, العنف",1,2022,799
547,left-hand layup!,series,16,4.5,الفجور,2,2025,743
548,legend of mana -the teardrop crystal-,series,13,3.5,العنف,1,2023,1738
549,let me check the walkthrough first,series,12,3.3,العنف,1,2023,2381
550,let this grieving soul retire,series,13,4.5,"الفجور, العنف",1,2024,21785
551,let's make a mug too,series,48,4.3,الفجور,2,2021,907
552,leviathan -the last defense-,series,13,3.6,"الفجور, العنف",1,2013,383
553,"liar, liar",series,12,4.3,"الفجور, العنف",1,2023,11251
554,libra of nil admirari,series,12,4.4,"العنف الجنسي, الانتحار, العنف",1,2018,2265
555,life lessons with uramichi oniisan,series,13,4.7,"الفجور, التدخين",1,2022,15223
556,life with an ordinary guy who reincarnated into a total fantasy knockout,series,12,4.4,"حوار ملمح, العنف",1,2022,17945
557,link click,series,48,4.8,"تعاطي المخدرات/الكحول, الفجور, الانتحار, العنف",4,2025,36227
558,lisa tv,series,34,3.8,unknown,1,2015,129
559,listeners,series,12,3.8,"تعاطي المخدرات/الكحول, الفجور, حوار ملمح, العنف",1,2022,455
560,locodol,series,15,4.4,الصور الجنسية,2,2014,373
561,log horizon,series,62,4.7,"تعاطي المخدرات/الكحول, الفجور, العنف",3,2015,25984
562,lord el-melloi ii's case files {rail zeppelin} grace note,series,1,4.6,"الفجور, التدخين, العنف",1,2018,2067
563,lord marksman and vanadis,series,13,4.6,"العنف الجنسي, الصور الجنسية, حوار ملمح, العنف",1,2014,13846
564,lord of vermilion: the crimson king,series,12,3.4,"الفجور, التدخين, العنف",1,2018,1225
565,love after world domination,series,12,4.6,"العري, الفجور",1,2022,27399
566,love all play,series,24,4.1,الفجور,1,2022,2420
567,love is indivisible by twins,series,13,4.0,"الفجور, المحتوى الجنسي, الصور الجنسية, حوار ملمح",1,2024,8421
568,love is like a cocktail,series,13,4.6,تعاطي المخدرات/الكحول,1,2017,6044
569,love live! nijigasaki high school idol club,series,27,4.5,unknown,3,2020,1831
570,love live! superstar!!,series,36,4.7,الفجور,3,2024,2645
571,love of kill,series,12,4.6,"الفجور, العنف",1,2022,19680
572,love stage!!,series,10,4.5,"المحتوى الجنسي, حوار ملمح",1,2014,10534
573,love to-lie-angle,series,12,3.9,"المحتوى الجنسي, الصور الجنسية, حوار ملمح",1,2018,1301
574,love tyrant,series,12,4.3,"الصور الجنسية, حوار ملمح, العنف",1,2017,9530
575,lovely muuuuuuuco!,series,25,3.9,unknown,1,2015,197
576,lucifer and the biscuit hammer,series,24,3.5,"تعاطي المخدرات/الكحول, الفجور, العنف",1,2022,5592
577,lycoris recoil,series,16,4.8,"الفجور, التدخين, العنف",2,2025,51509
578,maebashi witches,series,5,3.2,"الفجور, العنف",1,2025,596
579,maesetsu! opening act,series,12,3.4,unknown,1,2022,109
580,magatsu wahrheit,series,12,4.1,"الفجور, التدخين, المحتوى الجنسي, الانتحار, العنف",1,2022,741
581,magia record: puella magi madoka magica side story,series,26,4.2,"رعب خارق للطبيعة, العنف",3,2022,3354
582,magic maker: how to make magic in another world,series,13,4.4,العنف,1,2024,16257
583,magic-kyun! renaissance,series,13,4.4,الفجور,1,2016,2080
584,magical circle guru-guru,series,24,4.3,"الفجور, الصور الجنسية, العنف",1,2017,308
585,magical destroyers,series,12,4.2,"تعاطي المخدرات/الكحول, الفجور, المحتوى الجنسي, الصور الجنسية, حوار ملمح, العنف",1,2023,4024
586,magical girl ore,series,12,4.0,"الفجور, العنف",1,2018,1739
587,magical girl raising project,series,12,4.1,"الدم/القتل, تعاطي المخدرات/الكحول, الفجور, الانتحار, العنف",1,2016,2208
588,magical girl spec-ops asuka,series,12,4.3,"الدم/القتل, الفجور, المحتوى الجنسي, الصور الجنسية, التعذيب, العنف",1,2019,1448
589,magical sempai,series,12,4.3,"العري, الفجور, الصور الجنسية",1,2019,3987
590,magical somera-chan,series,12,3.6,"الفجور, العنف",1,2015,156
591,magicians academy,series,12,4.0,"العري, التدخين, المحتوى الجنسي, العنف",1,2010,938
592,magikano,series,13,3.7,"الفجور, الصور الجنسية, العنف",1,2022,510
593,mahjong soul pon☆,series,12,4.1,"الفجور, الصور الجنسية",1,2022,521
594,mahou shoujo nante mouiidesukara,series,24,3.6,"حوار ملمح, العنف",2,2016,315
595,mahou shoujo? naria girls,series,12,2.2,"الفجور, حوار ملمح, العنف",1,2016,320
596,major 2nd,series,50,4.5,"الفجور, الصور الجنسية, العنف",2,2020,767
597,makai ouji: devils and realist,series,12,4.2,العنف,1,2013,1724
598,makeine: too many losing heroines!,series,12,4.8,"التدخين, الصور الجنسية, حوار ملمح, العنف",1,2024,29859
599,makeruna!! aku no gundan!,series,12,3.0,الفجور,1,2017,68
600,malevolent spirits: mononogatari,series,24,4.7,"تعاطي المخدرات/الكحول, الفجور, العنف",1,2023,10737
601,manyu scroll,series,12,4.2,"العري, العنف الجنسي, التدخين, المحتوى الجنسي, الانتحار, العنف",1,2024,2705
602,marginal prince,series,14,2.8,العنف,1,2024,360
603,mars red,series,13,4.2,"الفجور, التدخين, العنف",1,2022,2192
604,marudase kintaro,series,1,2.7,"العري, العنف الجنسي, المحتوى الجنسي",1,2021,1432
605,masamune-kun's revenge,series,25,4.4,"الفجور, الصور الجنسية, حوار ملمح",2,2018,51461
606,mashle: magic and muscles,series,25,4.8,"التدخين, العنف",2,2023,177831
607,mayonaka punch,series,13,4.4,"تعاطي المخدرات/الكحول, الفجور, التدخين, حوار ملمح, العنف",1,2024,4954
