,title,type,eps_count,rate,content_descriptors,seasons_count,series_launch_year,Votes
70,anima yell!,series,12,4.3,الفجور,1,2018,498
71,anime azurlane: slow ahead!,series,12,4.6,الصور الجنسية,1,2021,929
72,anime crimes division,series,9,4.1,"الفجور, العنف",2,2018,981
73,anime de training! ex,series,24,3.5,الصور الجنسية,2,2015,340
74,anime kapibarasan,series,24,4.5,unknown,1,2020,514
75,anne shirley,series,5,4.7,unknown,1,2025,3908
76,anne-happy,series,12,4.4,"الفجور, الصور الجنسية, العنف",1,2016,741
77,another journey to the west,series,12,3.3,"رعب خارق للطبيعة, العنف",1,2024,1933
78,anti-magic academy: the 35th test platoon,series,12,4.3,"الفجور, التدخين, المحتوى الجنسي, حوار ملمح, العنف",1,2015,3356
79,"anyway, i'm falling in love with you.",series,13,4.2,"الفجور, الصور الجنسية",1,2025,7100
80,aoashi,series,24,4.8,"الفجور, العنف",1,2022,40302
81,aoi sekai no chushin de,series,3,3.7,"العنف الجنسي, المحتوى الجنسي, حوار ملمح, العنف",1,2012,1066
82,apocalypse hotel,series,5,4.4,"مواضيع للبالغين, الفجور",1,2025,1337
83,appare-ranman!,series,13,4.5,"الفجور, التدخين, العنف",1,2023,1579
84,aquarion myth of emotions,series,12,2.3,العنف,1,2025,1179
85,are you lost?,series,12,4.4,العري,1,2019,2992
86,arifureta: from commonplace to world's strongest,series,31,4.6,"العنف الجنسي, الصور الجنسية, التعذيب, العنف",2,2022,73687
87,arknights,series,16,4.5,"الفجور, العنف",2,2022,9368
88,armor shop for ladies & gentlemen,series,27,2.9,"العري, حوار ملمح, العنف",3,2021,1292
89,arp backstage pass,series,12,3.4,الفجور,1,2020,202
90,arte,series,12,4.7,حوار ملمح,1,2022,3585
91,"as a reincarnated aristocrat, i'll use my appraisal skill to rise in the world",series,24,4.7,"تعاطي المخدرات/الكحول, الفجور, التدخين, الصور الجنسية, العنف",2,2024,44062
92,as miss beelzebub likes it.,series,12,4.4,"العري, حوار ملمح",1,2018,2577
93,asateer – future's folktales,series,13,4.7,unknown,1,2021,26
94,ascendance of a bookworm,series,40,4.8,"حوار ملمح, العنف",1,2019,40861
95,asobi asobase - workshop of fun -,series,12,4.8,"الفجور, حوار ملمح",1,2018,10177
96,asobi ni ikuyo: bombshells from the sky,series,13,4.4,"العري, المحتوى الجنسي",1,2010,1877
97,astarotte's toy,series,13,3.9,"المحتوى الجنسي, الصور الجنسية, حوار ملمح",1,2011,2909
98,asteroid in love,series,13,4.3,unknown,1,2020,1944
99,astra lost in space,series,12,4.8,"العري, العنف",1,2022,5368
100,astro note,series,12,4.1,"تعاطي المخدرات/الكحول, الفجور, حوار ملمح, العنف",1,2024,3008
101,atelier ryza: ever darkness & the secret hideout the animation,series,12,4.2,"تعاطي المخدرات/الكحول, الصور الجنسية, العنف",1,2023,4932
102,atri -my dear moments-,series,13,4.5,"الفجور, العنف",1,2024,5054
103,attack on titan - الهجوم على العمالقة,series,100,4.9,"العري, الفجور, العنف",6,2013,381917
104,aware! meisaku-kun,series,37,3.1,الفجور,1,2021,106
105,ayaka,series,12,4.3,"تعاطي المخدرات/الكحول, العري, الفجور, التدخين, العنف",1,2023,6324
106,ayakashi triangle,series,13,4.0,"الفجور, الصور الجنسية, حوار ملمح, العنف",1,2023,5318
107,azur lane,series,12,4.3,"تعاطي المخدرات/الكحول, الصور الجنسية, العنف",1,2022,3013
108,back arrow,series,24,4.1,"العري, الفجور, العنف",1,2023,1432
109,backflip!!,series,13,4.7,الفجور,2,2021,5263
110,bananya,series,39,4.4,unknown,3,2016,2967
111,bang dream! it's mygo!!!!!,series,13,4.6,تعاطي المخدرات/الكحول,1,2023,1708
112,bang dream! movies,series,7,4.6,الفجور,4,2022,555
113,"banished from the hero's party, i decided to live a quiet life in the countryside",series,25,4.6,"العري, التدخين, العنف",2,2022,50547
114,barakamon,series,12,4.9,"التدخين, حوار ملمح, العنف",1,2014,10287
115,bartender,series,11,4.4,"تعاطي المخدرات/الكحول, الفجور, التدخين",1,2023,616
116,bartender glass of god,series,13,4.8,"تعاطي المخدرات/الكحول, الفجور, التدخين",1,2024,18988
117,bastions,series,5,2.0,العنف,1,2023,1669
118,battle athletes victory restart!,series,12,3.3,"الفجور, التدخين, الانتحار, العنف",1,2022,210
119,battle game in 5 seconds,series,12,4.5,"مواضيع للبالغين, الفجور, التدخين, الانتحار, العنف",1,2021,14068
120,battle girls - time paradox,series,14,4.2,"الصور الجنسية, حوار ملمح",1,2011,1036
121,beast tamer,series,13,4.7,العري,1,2022,56906
122,berserk,series,27,4.0,"الدم/القتل, العري, الفجور, العنف الجنسي, المحتوى الجنسي, العنف",2,2016,28336
123,berserk of gluttony,series,12,4.7,العنف,1,2023,69219
124,berserk: the golden age arc - memorial edition,series,13,4.8,"الدم/القتل, العري, الفجور, العنف الجنسي, المحتوى الجنسي, العنف",1,2022,27698
125,between the sky and sea,series,12,3.4,"الفجور, العنف",1,2018,311
126,big order,series,10,3.5,"العري, الفجور, العنف",1,2016,2576
127,birdie wing -golf girls' story-,series,25,4.7,"الفجور, العنف",1,2022,6112
128,black butler,series,16,4.7,"التدخين, الانتحار, العنف",2,2024,28684
129,black cat,series,24,4.5,"الفجور, التدخين, العنف",1,2022,2069
130,black clover  بلاك كلوفر,series,171,4.8,"الفجور, التدخين, الصور الجنسية, حوار ملمح, العنف",1,2017,206740
131,black summoner,series,12,4.7,العنف,1,2022,68316
132,blackfox,series,1,4.3,"الفجور, العنف",1,2019,2009
133,blade runner black out 2022,series,1,4.5,العنف,1,2017,787
134,blade runner: black lotus,series,13,4.2,"الفجور, التدخين, العنف",1,2021,2482
135,blassreiter,series,24,4.3,"الفجور, التدخين, المحتوى الجنسي, الانتحار, العنف",1,2008,2449
136,bloodivores,series,12,3.3,"الفجور, العنف",1,2016,1867
137,bloody escape: bats out of hell,series,1,3.5,unknown,1,2024,721
138,blue exorcist,series,36,4.6,"الفجور, التدخين, حوار ملمح, رعب خارق للطبيعة, العنف",3,2011,53650
139,blue lock,series,39,4.8,"الفجور, العنف",3,2022,208059
140,blue reflection ray,series,24,4.0,"الفجور, إيذاء الذات, الصور الجنسية, العنف",1,2022,588
141,bobobo-bo bo-bobo,series,76,4.5,"الفجور, العنف",1,2024,315
142,bocchi the rock!,series,14,4.9,"تعاطي المخدرات/الكحول, الفجور, العنف",2,2022,64638
143,"bofuri: i don't want to get hurt, so i'll max out my defense.",series,24,4.8,"الفجور, العنف",2,2022,43641
144,bogus skill <<fruitmaster>> ~about that time i became able to eat unlimited numbers of skill fruits (that kill you)~,series,12,3.8,"الصور الجنسية, العنف",1,2025,24622
145,bokurano,series,24,4.3,"العنف الجنسي, المحتوى الجنسي, الانتحار, العنف",1,2023,481
146,bones 25: dreaming forward,series,4,3.6,"التدخين, العنف",1,2024,347
147,bonjour♪sweet love patisserie,series,24,3.9,الفجور,1,2014,1922
148,boogiepop and others,series,18,4.3,"تعاطي المخدرات/الكحول, رعب خارق للطبيعة, العنف",1,2019,1427
149,boruto بوروتو: الأجيال القادمة من ناروتو,series,293,3.5,"التدخين, العنف",1,2017,83263
150,bottom-tier character tomozaki,series,27,4.4,"الفجور, الصور الجنسية, العنف",2,2022,17439
151,brave bang bravern!,series,12,4.4,"العري, الفجور, التدخين, التعذيب, العنف",1,2024,2398
152,brave witches,series,12,4.2,العنف,1,2016,752
153,break ups,series,1,3.7,التدخين,1,2011,705
154,bucchigiri?!,series,13,4.1,"العري, الفجور, حوار ملمح, العنف",1,2024,20581
155,buddy complex,series,13,4.4,العنف,1,2017,689
156,buddy daddies,series,13,4.9,"الفجور, التدخين, العنف",1,2023,57362
157,build-divide -#000000- code black,series,24,3.8,"الفجور, العنف",2,2021,2357
158,bullbuster,series,12,3.9,"تعاطي المخدرات/الكحول, الفجور, العنف",1,2023,1396
159,bungo and alchemist -gears of judgement-,series,13,4.1,"الفجور, التدخين, الانتحار, العنف",1,2022,1206
160,bungo stray dogs,series,62,4.8,"تعاطي المخدرات/الكحول, الفجور, التدخين, الانتحار, العنف",6,2016,73017
161,bungo stray dogs wan!,series,12,4.9,"الفجور, حوار ملمح, الانتحار, العنف",1,2021,7324
162,bureau of paranormal investigation,series,12,4.1,العنف,1,2022,1904
163,burn the witch,series,4,4.6,"الفجور, التدخين, حوار ملمح, العنف",2,2020,11977
